ref0,PID1,ADPID2,LQG3,Control
0,0.031700158,0.00066807,0.71034503,231
0,0.031892947,0.000673369,0.71038998,231
0,0.0320846,0.000678648,0.710434891,231
0,0.032275131,0.000683908,0.710479745,231
0,0.032464553,0.000689149,0.710524559,231
0,0.032652877,0.000694371,0.710569316,231
0,0.030919275,0.000661989,0.71061391,231
0,0.029202742,0.00062978,0.710658447,231
0,0.027503053,0.000597741,0.710702821,231
0,0.025819984,0.000565872,0.710747139,231
0,0.024153315,0.00053417,0.710791295,231
0,0.02250283,0.000502634,0.710835395,231
0,0.020868313,0.000471262,0.710879334,231
0,0.019249555,0.000440053,0.710923217,231
0,0.017646347,0.000409005,0.71096694,231
0,0.016058484,0.000378117,0.711010606,231
0,0.015860783,0.000374291,0.711054201,231
0,0.015665039,0.000370486,0.711097739,231
0,0.015471225,0.000366699,0.711141206,231
0,0.015279315,0.000362932,0.711184617,231
0,0.015089286,0.000359185,0.711227955,231
0,0.014901111,0.000355456,0.711271238,231
0,0.014714766,0.000351745,0.71131445,231
0,0.014530227,0.000348054,0.711357605,231
0,0.01434747,0.00034438,0.71140069,231
0,0.014166471,0.000340725,0.711443718,231
0,0.014339253,0.000343977,0.711486697,231
0,0.014510423,0.000347211,0.711529621,231
0,0.01468,0.000350428,0.711572495,231
0,0.014848007,0.000353628,0.711615313,231
0,0.015014463,0.000356812,0.711658082,231
0,0.01517939,0.000359979,0.711700795,231
0,0.015342806,0.000363129,0.711743459,231
0,0.015504731,0.000366264,0.711786068,231
0,0.015665185,0.000369382,0.711828627,231
0,0.015824187,0.000372484,0.711871131,231
