Input,Case1LNoise,Case1HPF(1),Case1Kal(3),Case1HPFKal(13),Case1LPFKal(23),Case1EKF(4),Control
0.349091492,0.041167139,0.070609653,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.349469104,0.041378524,0.064737747,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.349745941,0.041489442,0.058844233,0.224344634,-0.041542493,8.716774837,-0.253321804,1
0.349921923,0.041499814,0.052930815,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.349996999,0.041409588,0.046999204,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.349971148,0.041218743,0.041051116,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.349844376,0.040927287,0.035088272,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.349616722,0.040535257,0.029112395,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.34928825,0.040042718,0.023125215,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.348859054,0.039449765,0.017128464,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.34832926,0.038756522,0.011123876,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.347699019,0.037963142,0.005113189,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.346968513,0.037069808,-0.00090186,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.346137953,0.036076729,-0.00691953,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.345207579,0.034984146,-0.012938081,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.344177658,0.033792327,-0.018955772,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.343048488,0.032501569,-0.024970861,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.341820395,0.031112197,-0.03098161,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.340493731,0.029624567,-0.03698628,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.339068881,0.028039061,-0.042983132,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.337546255,0.026356089,-0.048970434,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.335926292,0.024576092,-0.054946453,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.334209459,0.022699537,-0.060909459,0.138637725,0.181671698,8.707706112,-0.22527692,1
0.332396251,0.020726918,-0.066857729,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.330487191,0.018658759,-0.072789542,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.32848283,0.01649561,-0.078703182,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.326383745,0.014238049,-0.084596937,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.324190542,0.011886683,-0.090469104,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.321903854,0.009442144,-0.096317983,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.319524339,0.00690509,-0.102141882,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.317052684,0.004276209,-0.107939117,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.314489602,0.001556214,-0.113708009,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.311835831,-0.001254157,-0.119446892,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.309092138,-0.004154137,-0.125154103,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.306259313,-0.007142937,-0.130827992,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.303338173,-0.010219737,-0.136466917,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.30032956,-0.013383697,-0.142069247,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.297234342,-0.016633948,-0.147633361,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.294053412,-0.019969598,-0.153157649,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.290787687,-0.023389728,-0.158640511,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.287438108,-0.026893398,-0.164080363,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.284005642,-0.030479641,-0.16947563,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.280491278,-0.034147468,-0.17482475,0.035889998,0.040029342,8.708986231,-0.201875824,1
0.27689603,-0.037895863,-0.180126175,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.273220934,-0.041723792,-0.185378372,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.269467051,-0.045630193,-0.19057982,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.265635462,-0.049613985,-0.195729014,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.261727273,-0.053674062,-0.200824464,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.257743611,-0.057809296,-0.205864694,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.253685624,-0.06201854,-0.210848247,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.249554482,-0.066300623,-0.215773678,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.245351378,-0.070654352,-0.220639563,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.241077522,-0.075078517,-0.225444493,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.236734148,-0.079571885,-0.230187077,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.232322507,-0.084133202,-0.234865942,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.227843873,-0.088761197,-0.239479733,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.223299536,-0.093454577,-0.244027114,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.218690807,-0.098212033,-0.248506768,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.214019014,-0.103032236,-0.252917398,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.209285506,-0.107913837,-0.257257727,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.204491647,-0.112855471,-0.261526497,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.19963882,-0.117855757,-0.265722473,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.194728423,-0.122913295,-0.269844438,-0.072118089,-0.101243788,8.708674242,-0.186277243,1
0.189761873,-0.128026668,-0.273891198,-0.173004644,-0.31990869,8.694883856,-0.180736162,1
0.184740602,-0.133194445,-0.277861582,-0.173004644,-0.31990869,8.694883856,-0.180736162,1
0.179666058,-0.138415176,-0.281754438,-0.173004644,-0.31990869,8.694883856,-0.180736162,1
0.174539705,-0.143687399,-0.285568639,-0.173004644,-0.31990869,8.694883856,-0.180736162,1
